,Saler,Production Year,Milage,Transmition,Quantity of doors,Color,Invoice,Country of origin,Accident-free,Serviced in aso,First registration,Polish registration,First owner,Alloy wheels,Description,price,location
155,Osoby prywatnej,2011.0,157 771 km,Manualna,5,Srebrny,0.0,NaN,1.0,0.0,28/02/2011,0.0,0.0,0.0,0.0,11000,1
156,Osoby prywatnej,2013.0,50 634 km,Manualna,5,Inny kolor,0.0,NaN,1.0,0.0,15/05/2013,1.0,0.0,1.0,0.0,16300,15
157,Osoby prywatnej,2006.0,230 100 km,Manualna,3,Srebrny,0.0,NaN,0.0,0.0,07/09/2006,0.0,0.0,0.0,0.0,6999,15
158,Firmy,2010.0,160 111 km,Manualna,5,Srebrny,1.0,NaN,1.0,1.0,NaN,1.0,1.0,0.0,0.0,15900,14
159,Osoby prywatnej,2008.0,98 000 km,Manualna,5,Srebrny,0.0,Polska,1.0,1.0,24/10/2008,1.0,0.0,0.0,0.0,12500,10
160,Osoby prywatnej,2011.0,120 070 km,Manualna,5,Czerwony,1.0,NaN,1.0,1.0,23/06/2011,1.0,1.0,0.0,0.0,16900,7
161,Osoby prywatnej,2006.0,264 000 km,Manualna,5,Srebrny,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,6999,7
162,Osoby prywatnej,2007.0,158 441 km,Manualna,3,Bordowy,0.0,Niemcy,1.0,0.0,12/06/2007,1.0,0.0,0.0,0.0,8500,14
163,Osoby prywatnej,2011.0,79 942 km,Manualna,3,Srebrny,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,13900,12
164,Osoby prywatnej,2008.0,122 000 km,Manualna,5,Czarny,0.0,NaN,0.0,1.0,NaN,0.0,0.0,1.0,0.0,12900,15
165,Osoby prywatnej,2008.0,170 000 km,Manualna,5,Srebrny,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,1.0,0.0,16999,6
166,Osoby prywatnej,2008.0,173 230 km,Manualna,5,Czerwony,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,10900,15
167,Osoby prywatnej,2006.0,100 000 km,Manualna,5,Srebrny,0.0,NaN,0.0,0.0,NaN,1.0,0.0,0.0,0.0,15000,4
168,Firmy,2009.0,124 000 km,Manualna,3,Czerwony,0.0,Niemcy,0.0,0.0,01/10/2009,0.0,0.0,0.0,0.0,11400,3
169,Firmy,2009.0,144 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,13500,12
170,Osoby prywatnej,2008.0,145 000 km,Manualna,5,Srebrny,1.0,Niemcy,1.0,0.0,NaN,0.0,0.0,1.0,0.0,11900,6
171,Osoby prywatnej,2009.0,166 752 km,Manualna,3,Czerwony,0.0,Niemcy,1.0,0.0,27/05/2009,0.0,0.0,0.0,0.0,7900,15
172,Firmy,2011.0,82 000 km,Manualna,5,Czerwony,1.0,Niemcy,1.0,1.0,10/11/2011,0.0,1.0,0.0,0.0,17900,2
173,Osoby prywatnej,2009.0,220 000 km,Manualna,3,Srebrny,0.0,NaN,1.0,0.0,30/06/2009,0.0,0.0,0.0,0.0,5900,4
174,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,9700,16
175,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,16700,15
176,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,15800,9
